seed,policy,timestep,accuracy,sem,em_groups_converged
4,entropy minimization,30,1.000000,0.000000,1
4,mutual information,1,0.500000,0.050000,1
4,mutual information,2,0.530000,0.049910,1
4,mutual information,3,0.760000,0.042708,1
4,mutual information,4,0.860000,0.034699,1
4,mutual information,5,0.870000,0.033630,1
4,mutual information,6,0.880000,0.032496,1
4,mutual information,7,0.950000,0.021794,1
4,mutual information,8,0.950000,0.021794,1
4,mutual information,9,0.930000,0.025515,1
4,mutual information,10,0.930000,0.025515,1
4,mutual information,11,0.940000,0.023749,1
4,mutual information,12,0.970000,0.017059,1
4,mutual information,13,0.940000,0.023749,1
4,mutual information,14,0.970000,0.017059,1
4,mutual information,15,0.990000,0.009950,1
4,mutual information,16,0.980000,0.014000,1
4,mutual information,17,0.990000,0.009950,1
4,mutual information,18,1.000000,0.000000,1
4,mutual information,19,1.000000,0.000000,1
4,mutual information,20,0.990000,0.009950,1
4,mutual information,21,0.990000,0.009950,1
4,mutual information,22,0.990000,0.009950,1
4,mutual information,23,0.990000,0.009950,1
4,mutual information,24,1.000000,0.000000,1
4,mutual information,25,0.990000,0.009950,1
4,mutual information,26,1.000000,0.000000,1
4,mutual information,27,1.000000,0.000000,1
4,mutual information,28,0.990000,0.009950,1
4,mutual information,29,0.990000,0.009950,1
4,mutual information,30,0.990000,0.009950,1
